essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
essential,nvidia,Nvidia drivers
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,ripgrep,Faster alternative to grep
tools,htop,Interactive process viewer
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,diff-so-fancy,Human readable git diff
i3,i3-gaps,i3 tiled window manager
i3,polybar,polybar status bar
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,i3scrot,i3 scrot
i3,dmenu,Dynamic menu for X
i3,rofi,Run menu
i3,imagemagick,Image manipulation
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
js,nodejs,Nodejs (for coc.vim)
js,yarn,Dependency manager (for coc.vim)
urxvt,rxvt-unicode,Terminal Urxvt
firefox,firefox,Firefox
developer,ansible,Configuration management
developer,kubectl,k8s cli
developer,rancher-k3d-bin,Run k3s in docker (AUR)
developer,k9s,TUI for k8s clusters
developer,age,age
tools,flux,flux
tools,gitleaks,check passwords for git
tools,go-task,modern make
tools,ipcalc,network tool
tools,jq,json
tools,pre-commit,Pre-commit hooks
tools,sops,mozilla sops
tools,terraform,iac
tools,yq,yaml
tools,direnv,
tools,helm,
tools,kustomize,
tools,prettier,
tools,stern,
tools,yamllint,Lint for yaml files

